第1列,单词,释义
宗教,secular,adj.现世的，世俗的，非宗教的。n.俗人
宗教,atheist,n.无神论者
宗教,infidel,n.异教徒
宗教,fidelity,n.n.（对配偶或伴侣的）忠贞；(对人、组织或信仰的）忠诚；精确性；
宗教,missionary,传教士。
,cult,"n.异教，异教组织；狂热崇拜，迷信；（特定群体的）偶像，时尚；崇拜者，信徒；宗教信仰，宗教习俗
adj.受崇拜的，热门的
to appease a climit cult 为了安抚气候崇拜"
,racist,n.种族主义者。adj.种族主义的，种族歧视的。racist legislation 种族主义立法。
有形的，无形的,intangible,adj.不可捉摸的，难以确定的；（资产，利益）无形的 n.无形的东西
"政府职位, 国会议会",cameral,adj. 司法或立法机构的. 用 camera 记。(the bi-cameral parliament 两院议会）
"政府职位, 国会议会",chamber,n. 议会，议院；房间，室 (having meeting in a council chamber 在议事厅开会)。combustion chamber 燃烧室(涡轮机)
"政府职位, 国会议会",chancellor,n. (德国或奥地利的)总理; (英国大学的)名誉校长; (英国)财政大臣
"政府职位, 国会议会",regent,"摄政王  resent, spite 怨恨"
"政府职位, 国会议会",premier,首相
"政府职位, 国会议会",minister,部长，大臣，牧师
"政府职位, 国会议会",dean,学院院长，系主任
"政府职位, 国会议会",senator,参议员
"政府职位, 国会议会",council,理事会，会议，委员会，顾问班子
"政府职位, 国会议会",councillor,市议员
"政府职位, 国会议会",president,主席。
"政府职位, 国会议会",preside,v. 担任主席；主持（会议、仪式）(i will preside the ceremony)
"政府职位, 国会议会",parliament,"n. 议会, 国会, 英国/加拿大的议会。用party记。"
"政府职位, 国会议会",congress,美国等的国会，也指代表大会。
"政府职位, 国会议会",Surgeon General,卫生局长
政治,regime,n.政府，政权；(机构、公司的)管理制度、组织方法。
政治,cracy,统治，政体
政治,theocracy,n.神权政治，神权国家。
政治,meri'tocracy,"n.精英领导体制，英才教育
merito 功劳，功德
'meritocrat n.有实力的精英，精英领导阶层的人
merito'cratic adj.精英管理的。HongKong is a purportedly meritocratic city 香港据说是精英之城。"
政治,monarchy,n.君主国；君主政体，君主制；皇室，王族
政治,autocrat,n.独裁者，专制君主
政治,totalitarian,极权主义的。The final stage is the establishment of a totalitarian Islamic theocracy.
政治,utopian,n.理想家，乌托邦。adj.乌托邦的，空想完美主义的。
政治,ideology,意识形态，思想意识。
政治,relinquish,v.(尤指不情愿地) 放弃，交出(权力，职位等)。relinquish our freedom.
政治,tyranny,n.暴政。The Tyranny of Oil 石油黑幕。
政治,sovereign,n.君主，元首，独立国家。adj.有主权的，完全独立的；掌握权力的；首要的；非常好的
政治,sovereignty,n.主权，最高统治权；独立自主；主权国家，自治州。claim sovereignty over this terriotry.
政治,soviet,苏维埃
政治,oligarch,n.寡头政治执政者
政治,oligarchy,n.寡头政治
政治,hegemony,n.霸权，支配权
政治,authoritarianism,威权主义
,reign,"n.（君主）在位时期，统治时期；领导期，任期；支配期，极盛期；（运动员或运动队）持有指明荣誉头衔的时期
v.为王，统治；支配，盛行；成为最佳，成为最重要的"
,dogmatic,adj.教条的；武断的
,reciprocity,n.互惠，互换
制裁,sanction,n.制裁，处罚（比如警察向你开出的罚单），正式许可，批准。v.许可，批准。
制裁,boycott,v.抵制，拒绝参加。
制裁,embargo,n.v. 禁运，禁令，贸易禁令
制裁,surplus,n.过剩，盈余，顺差。v.甩卖，变卖。adj.过剩的，多余的
制裁,undercut,n.v. 廉价出售，底切。undercut our economy 压低我们的经济
,fetter,n.v. 束缚，限制，禁锢
,unfetter,vt.释放；使自由
,unfettered,v.释放；使自由。adj.无拘无束的；被除去脚镣的。unfettered trade 自由贸易
,unshackle,vt.除去……镣铐；释放。unshackle our ingenuity
,shackle,n.v. n.束缚；桎梏；脚镣；枷锁
法律,prosecute,"v.起诉，控告，检举。
persecute v.迫害"
法律,prosecutor,检查官。
法律,prosecution,n.诉讼，原告，实施，从事。
法律,sue,v.控告，提起诉讼。be sued for sth.
法律,indict,"起诉，控告。
起诉：
prosecute sb for sth
charge sb with sth
accuse sb of sth
sue sb for sth"
法律,accuse,"v.责备，控告。a man accused of killing。his accused wife 他那杀千刀的老婆。
accusation 控告，谴责；罪名，罪状。frequent accusations of flirting with other people or cheating"
法律,probation,n.缓刑，试用期，试读。he was on probation.
法律,legitimate,adj. 合法的，正当合理的。v.使合法，认为正当、正统。He needs a legitimate birth certification.
法律,legitimize,v.使(坏事等)看起来可接受；使合法，赋予合法地位。
法律,equitable,adj.公平合理的，公正的。equitable and rational 公正合理。
法律,equity and fairness,公平与公正。
法律,extradition,引渡
法律,attorney,n.律师；代理人
,constitutional,adj.宪法的；宪法规定的，合乎宪法的；体质的，体格的；本性的，天性的
,custody,n.监护，监护权；监禁，拘留；保管，保护
,patrol,n.v. 巡逻。on patrol
,liquor,酒精类饮料，烈性饮料
,ensue,"v.继而发生，因而发生；追求。
When officers approached the man, he fled and a brief foot pursuit ensued before he was taken into custody."
赞扬，吹嘘,compliment,n. 致意，问候；赞美，称赞 v. 赞扬；称赞 (You should take it as a compliment)。来自 comply
赞扬，吹嘘,complimentary,adj. 赞美的，致意的，免费的。A complimentary glass of wine 免费酒 = free
赞扬，吹嘘,complaint,n.抱怨，埋怨，投诉，控告。
赞扬，吹嘘,commend,"赞扬，称赞 (his work was commended)
commendable = praiseworthy"
赞扬，吹嘘,recommend,"推荐
commence v.开始，着手"
赞扬，吹嘘,tout,"鼓吹, 兜售"
赞扬，吹嘘,extol,"v. 颂扬, 赞扬, 称赞 (she extol her son's virtue)
toxic 有毒的"
赞扬，吹嘘,hype,n.大肆的宣传广告，炒作。media hype 媒体炒作。hype up 炒作，夸大。We should not hype up this concept too mush.
赞扬，吹嘘,brag,v.吹嘘，自吹自擂。adj 第一流的，极好的。He never brag about how much money he got.
赞扬，吹嘘,bragger,吹牛者。a humber bragger 一个谦虚的吹牛者。
赞扬，吹嘘,boast,v. 夸耀，吹嘘；自豪地拥有 n. 引以为豪的事 (Parents tend to boast about children's achievements to each other.)
赞扬，吹嘘,blast,n. 爆炸；冲击波；强风；巨响，响声；严厉批评 v. 爆炸，爆破；发出刺耳声；强烈抨击
,complacent,adj.自满的，自鸣得意的
,complacency,/ complacence n.自满，自鸣得意
,grumble,v.抱怨，嘟囔；咕隆，发轰隆声；（内脏）间歇性地闹病  n.抱怨，牢骚；咕隆声
,compartment,"n. （铁路客车车厢分隔成的）隔间, （家具或设备等的）分隔间 (first-class compartment)，坦克等车辆的乘员舱。
bay 除了湾等的意思，还表示船或飞机上的货舱。"
,hatch,v.孵化，孵出；密谋，策划 n.(飞机或飞船的) 舱门、舱口
,apartment,
,department,
,cabin,n.小木屋，船舱，机舱
,ramp,n.斜坡，坡道，飞机的舷梯、运输机的货仓坡道。高速公路的匝道。建筑门口的轮椅斜坡。v.为...提供 斜面。
强迫,pel,驱动，推
强迫,compel,"v. 强迫，迫使（由于外界环境）(The president felt compelled to resign because of the scandal. be comelled to work later)
compelling adj.令人信服的，有说服力的；引人入胜的，扣人心弦的。"
强迫,compulsory,"adj. 必须做的, 义务的; 强制的, 强迫的 (compulsory education 义务教育, a compulsory subject 必修科目)"
强迫,compulsive,"adj. 难以抵制的，不能自拔的；引人入胜的 = forced, mandatory。compulsive overeating 强迫性暴食。"
强迫,dispel,驱散，消除。dispel the misinformation sorrounding COVID-19 vaccine 驱散关于新冠疫苗的虚假信息。
强迫,impel,"v. 促使, 驱策, 迫使 (I felt impelled to say something to comfort her)"
强迫,expel,"v. 排出；把…开除（或除名）；驱逐出境；喷出  (she was expelled from school at 15）
deport v.驱逐出境，递解出境"
强迫,expulsion,n.开除，驱逐，逐出，排出。
